계좌명,자산군,위험도,구분,종목명,티커,수량,매입단가,매입금액,배율,현재가,거래량,전일종가,전일대비(%),거래대금,시가총액,52주 최고,최고대비(%),52주 최저,PER,EPS
메인 계좌,본주,주의,반도체,브로드컴,AVGO,,,,2,360.64,8069709,368.56,-2.15,2910259854,1715749909760,495,-0.2714343434,289.96,46.05,7.83
메인 계좌,본주,위험,반도체,마이크론,MU,,,,3,1024.65,14055987,1000.26,2.44,14402467080,1156786432729,1255,-0.1835458167,138.88,23.21,44.17
메인 계좌,레버리지ETF,위험,반도체,마이크론 2배,MUU,,,,6,34.83,17521626,33.22,4.85,610278233.6,#N/A,62.64,-0.4439655172,1.31,#N/A,#N/A
메인 계좌,본주,위험,반도체,AMD,AMD,,,,2,523.5,12858984,505.74,3.51,6731678124,854600139000,584.73,-0.1047149967,149.85,134.39,3.9
메인 계좌,본주,위험,반도체,인텔,INTC,,,,2,105.59,48750733,104.47,1.07,5147589897,558050416355,142.34,-0.2581846284,24.05,#N/A,-2.12
메인 계좌,본주,주의,기술,애플,AAPL,,,,2,313.24,15147527,316.22,-0.94,4744811357,4571482582194,344.57,-0.09092492092,225.95,35.91,8.72
메인 계좌,본주,위험,반도체,샌디스크,SNDK,,,,3,1766,5774822,1737.99,1.61,10198335652,258575954000,2354.39,-0.2499118668,72.03,24.04,73.7
메인 계좌,레버리지ETF,위험,반도체,샌디스크 2배,SNXX,566,18.06,,6,17.9,3435456,17.37,3.05,61494662.4,#N/A,249,-0.9281124498,6.28,#N/A,#N/A
메인 계좌,본주,안전,기술,마이크로소프트,MSFT,,,,2,491.92,4419241,493.95,-0.41,2173913033,3652774196108,553.72,-0.1116087553,349.2,27.42,17.95
메인 계좌,본주,주의,소프트웨어,오라클,ORCL,,,,2,161.73,9465822,162.52,-0.49,1530907392,465858562523,345.72,-0.5321936827,114.5,26.3,6.15
메인 계좌,레버리지ETF,위험,소프트웨어,오라클 2배,ORCX,,,,4,26.06,1135753,26.34,-1.08,29597723.18,#N/A,181.59,-0.8564898948,13.71,#N/A,#N/A
메인 계좌,본주,위험,소프트웨어,팔란티어,PLTR,,,,2,170.91,8873791,170.3,0.28,1516619620,410382215282,207.52,-0.1764167309,106.38,145.69,1.17
메인 계좌,레버리지ETF,위험,소프트웨어,팔란티어 2배,PTIR,1,11.16,,4,17.72,1334206,17.64,0.43,23642130.32,#N/A,40.78,-0.5654732712,7.85,#N/A,#N/A
